Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.4708,0.4409,0.7385,0.5031,0.5958,-0.1099,-0.1221,0.038
Light Gradient Boosting Machine,0.5083,0.4885,0.5846,0.5468,0.5588,0.0018,-0.0006,0.056
CatBoost Classifier,0.4917,0.5143,0.5692,0.5292,0.5437,-0.0313,-0.0329,0.426
Random Forest Classifier,0.4708,0.4393,0.5615,0.5113,0.5328,-0.0757,-0.0764,0.166
Gradient Boosting Classifier,0.4542,0.4598,0.5,0.4959,0.4957,-0.1002,-0.1013,0.142
Decision Tree Classifier,0.4333,0.4287,0.4846,0.4782,0.4799,-0.1433,-0.1447,0.032
