Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.4875,0.4339,0.7308,0.5176,0.602,-0.0716,-0.0852,0.034
CatBoost Classifier,0.525,0.0,0.6,0.5555,0.5737,0.0371,0.039,0.526
Gradient Boosting Classifier,0.4958,0.4724,0.6077,0.5307,0.5657,-0.0292,-0.0295,0.126
Random Forest Classifier,0.4958,0.0,0.5769,0.5368,0.5535,-0.0242,-0.0243,0.142
Light Gradient Boosting Machine,0.5,0.0,0.5308,0.5407,0.5323,-0.006,-0.0066,0.05
Decision Tree Classifier,0.4792,0.0,0.5154,0.5208,0.516,-0.0485,-0.0487,0.03
