Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Logistic Regression,0.4875,0.4339,0.7308,0.5176,0.602,-0.0716,-0.0852,0.08
CatBoost Classifier,0.525,0.0,0.6,0.5555,0.5737,0.0371,0.039,0.584
Gradient Boosting Classifier,0.4958,0.4724,0.6077,0.5307,0.5657,-0.0292,-0.0295,0.166
Random Forest Classifier,0.5,0.0,0.5923,0.5351,0.56,-0.017,-0.0167,0.182
Light Gradient Boosting Machine,0.5,0.0,0.5308,0.5407,0.5323,-0.006,-0.0066,0.114
Decision Tree Classifier,0.4708,0.0,0.4923,0.5155,0.5021,-0.0628,-0.0631,0.07
